Year,Month,Day,Hour,Minute,GHI,Wind Speed,Relative Humidity,Temperature,Pressure
2019,1,8,17,0,2,1,55.33,14.3,1019
2019,1,8,17,30,0,0.7,54.62,14.5,1019
2019,1,8,18,0,0,0.4,53.72,14.7,1019
2019,1,8,18,30,0,0.3,54.41,14.5,1019
2019,1,8,19,0,0,0.3,54.82,14.3,1019
2019,1,8,19,30,0,0.4,55.53,14.1,1019
2019,1,8,20,0,0,0.6,56.15,13.8,1020
2019,1,8,20,30,0,0.7,56.88,13.6,1020
2019,1,8,21,0,0,0.8,56.98,13.4,1019
2019,1,8,21,30,0,0.9,57.35,13.3,1019
2019,1,8,22,0,0,0.9,57.51,13.1,1019
2019,1,8,22,30,0,0.9,58.27,12.9,1019
2019,1,8,23,0,0,0.9,58.81,12.6,1019
2019,1,8,23,30,0,0.9,59.58,12.4,1019
2019,1,9,0,0,0,0.9,59.28,12.3,1019
2019,1,9,0,30,0,0.9,60.45,12,1019
2019,1,9,1,0,0,0.9,60.6,11.8,1019
2019,1,9,1,30,0,0.8,61.81,11.5,1019
2019,1,9,2,0,0,0.8,62.03,11.3,1019
2019,1,9,2,30,0,0.8,62.86,11.1,1019
2019,1,9,3,0,0,0.8,62.58,11,1018
2019,1,9,3,30,0,0.9,63.06,10.9,1019
2019,1,9,4,0,0,0.9,62.8,10.8,1019
2019,1,9,4,30,0,1,63.63,10.6,1019
2019,1,9,5,0,0,1.1,63.69,10.4,1019
2019,1,9,5,30,0,1.2,64.54,10.2,1019
2019,1,9,6,0,0,1.3,64.79,9.9,1020
2019,1,9,6,30,0,1.2,61.84,10.6,1020
2019,1,9,7,0,22,1.1,60.15,11.3,1020
2019,1,9,7,30,91,1.5,52.42,13.4,1020
2019,1,9,8,0,178,1.8,47.02,15.6,1020
2019,1,9,8,30,284,1.6,43.34,16.9,1021
2019,1,9,9,0,369,1.5,38.61,18.2,1021
2019,1,9,9,30,444,1.5,36.47,19.1,1020
2019,1,9,10,0,507,1.5,34.67,20.1,1020
2019,1,9,10,30,557,1.6,33.38,20.7,1019
2019,1,9,11,0,591,1.6,33.01,21.3,1019
2019,1,9,11,30,610,1.8,32.18,21.7,1018
